"Sample","Passage","Group","Strain","Species","Start.date","Extraction.date","Days.on.plate","X","Ct","block","Species.full"
"FBR38.1",1,"FBR38","SB454","sulstoni","4/20/2021 12:10","4/23/2021 12:30","3.013888889",NA,Inf,1,"C. sulstoni"
"FBR39.1",1,"FBR39","SB454","sulstoni","4/20/2021 12:10","4/23/2021 12:30","3.013888889",NA,24.9563,1,"C. sulstoni"
"FBR40.1",1,"FBR40","JU1857","macrosperma","4/21/2021 11:30","4/25/2021 6:50","3.805555556",NA,30.3897,1,"C. macrosperma"
"FBR41.1",1,"FBR41","JU1857","macrosperma","4/20/2021 11:00","4/23/2021 12:30","3.0625",NA,34.1105,1,"C. macrosperma"
"FBR42.1",1,"FBR42","JU1857","macrosperma","4/20/2021 11:00","4/23/2021 12:30","3.0625",NA,Inf,1,"C. macrosperma"
"FBR16.2",2,"FBR16","JU4094","sp.66","4/25/2021 6:50","4/30/2021 11:20","5.1875",NA,12.2924,1,"C. sp. 66"
"FBR21.2",2,"FBR21","JU1428","tropicalis","4/25/2021 6:50","4/29/2021 13:50","4.291666667",NA,39.9042,1,"C. tropicalis"
"FBR22.2",2,"FBR22","VX80","latens","4/25/2021 6:50","4/29/2021 13:50","4.291666667",NA,39.764,1,"C. latens"
"FBR23.2",2,"FBR23","VX80","latens","4/25/2021 6:50","4/29/2021 13:50","4.291666667",NA,27.5436,1,"C. latens"
"FBR24.2",2,"FBR24","VX80","latens","4/25/2021 6:50","4/30/2021 11:20","5.1875",NA,39.163,1,"C. latens"
"FBR37.2",2,"FBR37","SB454","sulstoni","4/24/2021 6:30","4/28/2021 12:00","4.229166667",NA,Inf,1,"C. sulstoni"
"FBR39.2",2,"FBR39","SB454","sulstoni","4/23/2021 12:30","4/28/2021 12:00","4.979166667",NA,11.8558,1,"C. sulstoni"
"FBR40.2",2,"FBR40","JU1857","macrosperma","4/25/2021 6:50","4/29/2021 13:50","4.291666667",NA,Inf,1,"C. macrosperma"
"FBR41.2",2,"FBR41","JU1857","macrosperma","4/23/2021 12:30","4/28/2021 12:00","4.979166667",NA,Inf,1,"C. macrosperma"
"FBR16.3",3,"FBR16","JU4094","sp.66","4/30/2021 11:20","5/4/2021 13:55","4.107638889",NA,16.653,1,"C. sp. 66"
"FBR21.3",3,"FBR21","JU1428","tropicalis","4/29/2021 13:50","5/3/2021 11:25","3.899305556",NA,Inf,1,"C. tropicalis"
"FBR22.3",3,"FBR22","VX80","latens","4/29/2021 13:50","5/3/2021 11:25","3.899305556",NA,Inf,1,"C. latens"
"FBR23.3",3,"FBR23","VX80","latens","4/29/2021 13:50","5/3/2021 11:25","3.899305556",NA,Inf,1,"C. latens"
"FBR24.3",3,"FBR24","VX80","latens","4/30/2021 11:20","5/4/2021 13:55","4.107638889",NA,Inf,1,"C. latens"
"FBR39.3",3,"FBR39","SB454","sulstoni","4/28/2021 12:00","5/3/2021 11:25","4.975694444",NA,13.3139,1,"C. sulstoni"
"FBR16.4",4,"FBR16","JU4094","sp.66","5/4/2021 13:55","5/8/2021 12:45","3.951388889",NA,16.5664,1,"C. sp. 66"
"FBR21.4",4,"FBR21","JU1428","tropicalis","5/3/2021 11:25","5/7/2021 13:15","4.076388889",NA,Inf,1,"C. tropicalis"
"FBR22.4",4,"FBR22","VX80","latens","5/3/2021 11:25","5/7/2021 13:15","4.076388889",NA,Inf,1,"C. latens"
"FBR23.4",4,"FBR23","VX80","latens","5/3/2021 11:25","5/7/2021 13:15","4.076388889",NA,Inf,1,"C. latens"
"FBR39.4",4,"FBR39","SB454","sulstoni","5/3/2021 11:25","5/7/2021 13:15","4.076388889",NA,14.8654,1,"C. sulstoni"
"FBR16.5",5,"FBR16","JU4094","sp.66","5/8/2021 12:45","5/11/2021 7:20","2.774305556",NA,Inf,1,"C. sp. 66"
