"","Sample","Strain","Species","Start.date","Extraction.date","Treatment","Days.on.plate","Ct","block"
"342","FBQ46","JU2161","zanzibari","4/9/2021 10:30","4/14/2021 12:30","virus",5.083333333,33.6338,7
"343","FBQ47","JU2161","zanzibari","4/9/2021 10:30","4/14/2021 12:30","virus",5.083333333,35.9867,7
"344","FBQ48","JU2161","zanzibari","4/9/2021 10:30","4/16/2021 13:30","virus",7.125,31.1263,7
"345","FBW1","N2","elegans","7/2/2021 0:00","7/6/2021 0:00","control",4,Inf,8
"346","FBW2","N2","elegans","7/2/2021 0:00","7/6/2021 0:00","control",4,Inf,8
"347","FBW3","N2","elegans","7/2/2021 0:00","7/6/2021 0:00","control",4,Inf,8
"348","FBW7","N2","elegans","7/2/2021 0:00","7/6/2021 0:00","virus",4,17.546,8
"349","FBW8","N2","elegans","7/2/2021 0:00","7/6/2021 0:00","virus",4,20.8338,8
"350","FBW9","N2","elegans","7/2/2021 0:00","7/6/2021 0:00","virus",4,20.3132,8
"351","FBW10","JU1580","elegans","7/2/2021 0:00","7/7/2021 0:00","virus",5,12.1494,8
"352","FBW11","JU1580","elegans","7/2/2021 0:00","7/7/2021 0:00","virus",5,11.2925,8
"353","FBW12","JU1580","elegans","7/2/2021 0:00","7/7/2021 0:00","virus",5,14.6963,8
"354","FBW16","JU1667","monodelphis","7/2/2021 0:00",NA,"virus",-44379,Inf,8
"355","FBW17","JU1667","monodelphis","7/2/2021 0:00",NA,"virus",-44379,Inf,8
"356","FBW18","JU1667","monodelphis","7/2/2021 0:00",NA,"virus",-44379,Inf,8
"357","FBW19","JU2884","monodelphis","7/2/2021 0:00","7/25/2021 14:40","virus",23.61111111,Inf,8
"358","FBW20","JU2884","monodelphis","7/2/2021 0:00","7/27/2021 14:40","virus",25.61111111,36,8
"359","FBW21","JU2884","monodelphis","7/2/2021 0:00","7/27/2021 14:40","virus",25.61111111,Inf,8
"360","FBW22","QX1182","sp.8","7/2/2021 0:00",NA,"virus",-44379,NA,8
"361","FBW23","QX1182","sp.8","7/2/2021 0:00",NA,"virus",-44379,NA,8
"362","FBW24","QX1182","sp.8","7/2/2021 0:00",NA,"virus",-44379,NA,8
